Grant ID & Element,Grant Name,Sponsor,County,State,Grant Amount,Year Approved,Year Completed,Type
6 - XXX,MT. SUNAPEE STATE PARK,DEPT. OF RESOURCES & ECONOMIC DEV.,MERRIMACK,NH,234861.29,1965,1968,Development
8 - XXX,STATE OUTDOOR RECREATION PLAN,DEPT. OF RESOURCES & ECONOMIC DEV.,PLANNING,NH,31412.80,1965,1969,Planning
9 - XXX,PAWTUCKAWAY STATE PARK,DEPT. OF RESOURCES & ECONOMIC DEV.,ROCKINGHAM,NH,580251.32,1966,1968,Combination
14 - XXX,BELKNAP RECREATION AREA,BELKNAP COUNTY,BELKNAP,NH,21039.77,1967,1968,Development
15 - XXX,SANBORNTON RECREATION POND,TOWN OF SANBORNTON,BELKNAP,NH,1982.07,1967,1969,Development
16 - XXX,GILFORD VILLAGE FIELD,TOWN OF GILFORD,BELKNAP,NH,19361.70,1967,1970,Development
11 - XXX,FRANCONIA NOTCH STATE PARK,DEPT. OF RESOURCES & ECONOMIC DEV.,GRAFTON,NH,724110.30,1967,1974,Development
10 - XXX,SILVER LAKE STATE PARK,DEPT. OF RESOURCES & ECONOMIC DEV.,HILLS,NH,1125.00,1967,1969,Acquisition
12 - XXX,BEAVER MEADOW MUNICIPAL GOLF COU,CITY OF CONCORD,MERRIMACK,NH,68419.53,1967,1969,Development
17 - XXX,KENSINGTON RECREATION AREA,TOWN OF KENSINGTON,ROCKINGHAM,NH,2043.77,1967,1970,Development
18 - XXX,MOUNT WASHINGTON SUMMIT STATE PA,DEPT. OF RESOURCES & ECONOMIC DEV.,COOS,NH,24889.74,1968,1970,Development
21 - XXX,PINARDVILLE PLAYGROUND,TOWN OF GOFFSTOWN,HILLS,NH,14000.00,1968,1968,Development
24 - XXX,ODELL PARK,CITY OF FRANKLIN,MERRIMACK,NH,19592.85,1968,1970,Development
20 - XXX,SOUTHWESTERN STATE PARK (PISGAH),DEPT. OF RESOURCES & ECONOMIC DEV.,MULTI-COUNTY,NH,813370.23,1968,1973,Acquisition
26 - XXX,BELKNAP-PHELPS SKI TOW,BELKNAP COUNTY,BELKNAP,NH,16288.02,1969,1969,Development
28 - XXX,INTER-LAKES RECREATION AREA,INTER-LAKES SCHOOL DIST.,BELKNAP,NH,20867.06,1969,1971,Development
34 - XXX,ASHLAND MEMORIAL PARK,TOWN OF ASHLAND,GRAFTON,NH,4830.00,1969,1970,Acquisition
23 - XXX,DERRYFIELD SKI SLOPE,CITY OF MANCHESTER,HILLS,NH,351446.93,1969,1977,Combination
27 - XXX,GREGG LAKE BEACH,TOWN OF ANTRIM,HILLS,NH,2700.00,1969,1969,Development
30 - XXX,PINARDVILLE POOL,TOWN OF GOFFSTOWN,HILLS,NH,21000.00,1969,1970,Development
32 - XXX,GREENVILLE SWIMMING POOL,TOWN OF GREENVILLE,HILLS,NH,35219.24,1969,1971,Development
29 - XXX,MINE FALLS PARK,CITY OF NASHUA,HILLSBOROUGH,NH,175000.00,1969,1973,Acquisition
31 - XXX,BEAR BROOK STATE PARK,DEPT. OF RESOURCES & ECONOMIC DEV.,MERRIMACK,NH,10237.50,1969,1970,Acquisition
33 - XXX,BELKNAP AREA III,BELKNAP COUNTY,BELKNAP,NH,77581.86,1970,1971,Development
39 - XXX,BELKNAP AREA 4,BELKNAP COUNTY,BELKNAP,NH,318516.43,1970,1972,Development
40 - XXX,FOSS MOUNTAIN,TOWN OF EATON,CARROLL,NH,14700.00,1970,1971,Acquisition
37 - XXX,FLUME I,DEPT. OF RESOURCES & ECONOMIC DEV.,GRAFTON,NH,18413.69,1970,1971,Development
41 - XXX,PLYMOUTH RECREATION AREA II,PLYMOUTH SCHOOL DIST.,GRAFTON,NH,24410.98,1970,1975,Development
44 - XXX,BEDELL BRIDGE,DEPT. OF RESOURCES & ECONOMIC DEV.,GRAFTON,NH,10550.00,1970,1971,Acquisition
35 - XXX,BARNARD PLAYGROUND,TOWN OF GOFFSTOWN,HILLS,NH,52074.25,1970,1971,Development
42 - XXX,FRASER MEMORIAL FIELD,TOWN OF HOOKSETT,MERRIMACK,NH,10426.08,1970,1971,Development
43 - XXX,CONTOOCOOK RIVER PARK,CITY OF CONCORD,MERRIMACK,NH,19787.00,1970,1971,Acquisition
38 - XXX,FORT DEARBORN STATE PARK,DEPT. OF RESOURCES & ECONOMIC DEV.,ROCKINGHAM,NH,38239.34,1970,1973,Development
46 - XXX,NEWPORT RECREATION AREA,TOWN OF NEWPORT,SULLIVAN,NH,4000.00,1970,1971,Acquisition
55 - XXX,JACKSON MEMORIAL PARK,TOWN OF JACKSON,CARROLL,NH,12296.80,1971,1973,Combination
56 - XXX,WHITAKER WOODS,TOWN OF CONWAY,CARROLL,NH,20000.00,1971,1972,Acquisition
51 - XXX,ASHUELOT RIVER PARK,CITY OF KEENE,CHESHIRE,NH,10000.00,1971,1972,Acquisition
50 - XXX,SOUTH ESKER PARK,TOWN OF HANOVER,GRAFTON,NH,10000.00,1971,1972,Acquisition
49 - XXX,CORNING ROAD PARK,CITY OF LITCHFIELD,HILLSBOROUGH,NH,7828.29,1971,1976,Combination
47 - XXX,MT SUNAPEE STATE PARK II,DEPT. OF RESOURCES & ECONOMIC DEV.,MERRIMACK,NH,55085.19,1971,1972,Development
52 - XXX,WINSLOW STATE PARK,DEPT. OF RESOURCES & ECONOMIC DEV.,MERRIMACK,NH,5750.00,1971,1972,Acquisition
54 - XXX,STATE PLAN MAINTENANCE II,DEPT. OF RESOURCES & ECONOMIC DEV.,PLANNING,NH,30722.75,1971,1972,Planning
57 - XXX,JFK HANDBALL COURTS,CITY OF PORTSMOUTH,ROCKINGHAM,NH,8357.75,1971,1973,Development
48 - XXX,BEN MERE RECREATION AREA,TOWN OF SUNAPEE,SULLIVAN,NH,12500.00,1971,1971,Acquisition
59 - XXX,LACONIA THREE PARK,CITY OF LACONIA,BELKNAP,NH,12716.98,1972,1972,Development
74 - XXX,LACONIA RIVERFRONT PARK,CITY OF LACONIA,BELKNAP,NH,691.62,1972,1974,Development
75 - XXX,WAUKEWAN BEACH,TOWN OF MEREDITH,BELKNAP,NH,3000.00,1972,1974,Development
69 - XXX,SHEPHERDS RIVER I,TOWN OF EATON,CARROLL,NH,40000.00,1972,1972,Acquisition
70 - XXX,PUDDING POND,TOWN OF CONWAY,CARROLL,NH,43000.00,1972,1972,Acquisition
113 - XXX,WARE'S GROVE,TOWN OF CHESTERFIELD,CHESHIRE,NH,101500.00,1972,1975,Development
135 - XXX,BEECH HILL,CITY OF KEENE,CHESHIRE,NH,32500.00,1972,1976,Acquisition
58 - XXX,TWIN MT. SNOWMOBILE TRAIL,TOWN OF CARROLL,COOS,NH,1089.00,1972,1973,Development
66 - XXX,MOOSE BROOK STATE PARK,DEPT. OF RESOURCES & ECONOMIC DEV.,COOS,NH,11578.22,1972,1973,Development
61 - XXX,FRANCONIA NOTCH II,DEPT. OF RESOURCES & ECONOMIC DEV.,GRAFTON,NH,52947.58,1972,1973,Development
71 - XXX,FLUME II,DEPT. OF RESOURCES & ECONOMIC DEV.,GRAFTON,NH,2836.91,1972,1979,Redevelopment
73 - XXX,STORRS HILL SKI AREA,CITY OF LEBANON,GRAFTON,NH,32963.89,1972,1974,Development
136 - XXX,EDGERTON & RELATED PROPERTIES ACQ.,TOWN OF HANOVER,GRAFTON,NH,14223.87,1972,1975,Acquisition
62 - XXX,NASHUA RIVER ISLAND,CITY OF NASHUA,HILLS,NH,2500.00,1972,1972,Acquisition
67 - XXX,ADAMS PLAYGROUND,TOWN OF PETERBOROUGH,HILLS,NH,18904.72,1972,1972,Development
68 - XXX,HOLLIS GREENBELT,TOWN OF HOLLIS,HILLS,NH,3800.00,1972,1973,Acquisition
76 - XXX,PURGATORY FALLS-MONT VERNON,TOWN OF MT. VERNON,HILLS,NH,8925.00,1972,1973,Acquisition
63 - XXX,KENSINGTON RECREATION AREA II,TOWN OF KENSINGTON,ROCKINGHAM,NH,1048.56,1972,1972,Development
64 - XXX,PLAISTOW PARK,TOWN OF PLAISTOW,ROCKINGHAM,NH,2500.00,1972,1973,Acquisition
60 - XXX,MONADNOCK PARK,CITY OF CLAREMONT,SULLIVAN,NH,3800.00,1972,1972,Acquisition
72 - XXX,BELKNAP AREA V,BELKNAP COUNTY,BELKNAP,NH,161941.39,1973,1979,Development
83 - XXX,SHEPHERDS RIVER II,TOWN OF EATON,CARROLL,NH,87500.00,1973,1973,Acquisition
89 - XXX,BACK BAY RECREATION AREA,TOWN OF WOLFEBORO,CARROLL,NH,62004.15,1973,1977,Development
93 - XXX,PEQUAWKET SACO RIVER PROPERTIES,TOWN OF CONWAY,CARROLL,NH,61500.00,1973,1974,Acquisition
100 - XXX,SHEPHERDS RIVER III,TOWN OF EATON,CARROLL,NH,3000.00,1973,1975,Acquisition
107 - XXX,BIG ISLAND,TOWN OF MADISON,CARROLL,NH,11000.00,1973,1975,Acquisition
105 - XXX,VILAS POOL,TOWN OF ALSTEAD,CHESHIRE,NH,4635.00,1973,1975,Development
99 - XXX,COLONEL TOWN FIELD,TOWN OF LANCASTER,COOS,NH,14931.41,1973,1974,Development
95 - XXX,REMICK PARK,TOWN OF LITTLETON,GRAFTON,NH,17425.10,1973,1973,Development
102 - XXX,WARREN TENNIS COURT,TOWN OF WARREN,GRAFTON,NH,2863.75,1973,1975,Development
103 - XXX,FRANCONIA SKATING RINK,TOWN OF FRANCONIA,GRAFTON,NH,6565.85,1973,1975,Development
104 - XXX,ASHLARD MEMORIAL PARB II,TOWN OF ASHLAND,GRAFTON,NH,5939.22,1973,1976,Development
79 - XXX,PURGATORY FALLS LYNDEBOROUGH,TOWN OF LYNDEBOROUGH,HILLS,NH,1575.00,1973,1973,Acquisition
92 - XXX,MERRIMACK TENNIS COURTS,TOWN OF MERRIMACK,HILLS,NH,26663.11,1973,1978,Development
112 - XXX,BEDFORD RECREATION AREA,TOWN OF BEDFORD,HILLS,NH,3229.50,1973,1975,Development
124 - XXX,ROTARY POOL,CITY OF NASHUA,HILLS,NH,61699.14,1973,1975,Development
109 - XXX,BROOKLINE TOWN PARK,TOWN OF BROOKLINE,HILLSBOROUGH,NH,4116.48,1973,1975,Development
84 - XXX,WALKER FOREST,TOWN OF BOW,MERRIMACK,NH,2500.00,1973,1973,Acquisition
87 - XXX,MEMORIAL FIELD,CITY OF CONCORD,MERRIMACK,NH,45071.14,1973,1974,Acquisition
94 - XXX,WILMOT REC. AREA,TOWN OF WILMOT,MERRIMACK,NH,2922.27,1973,1975,Development
108 - XXX,MEMORIAL FIELD II,CITY OF CONCORD,MERRIMACK,NH,126622.34,1973,1976,Development
91 - XXX,GILE FOREST,DEPT. OF RESOURCES & ECONOMIC DEV.,MULTI-COUNTY,NH,405077.45,1973,1975,Acquisition
77 - XXX,GREAT ISLAND COMMON,TOWN OF NEW CASTLE,ROCKINGHAM,NH,4454.93,1973,1973,Development
78 - XXX,SALEM RECREATION AREA,TOWN OF SALEM,ROCKINGHAM,NH,84254.64,1973,1975,Development
82 - XXX,POPE ROAD RECREATION AREA,TOWN OF ATKINSON,ROCKINGHAM,NH,3703.19,1973,1975,Development
96 - XXX,RIVERVIEW PARK,TOWN OF GREENLAND,ROCKINGHAM,NH,14217.54,1973,1975,Combination
97 - XXX,SOUTH HAMPTON TOWN COMMON,TOWN OF SOUTH HAMPTON,ROCKINGHAM,NH,479.50,1973,1973,Development
98 - XXX,LONDONDERRY RECREATION AREA,TOWN OF LONDONDERRY,ROCKINGHAM,NH,10000.00,1973,1974,Acquisition
85 - XXX,ROLLINSFORD RECREATION AREA,TOWN OF ROLLINSFORD,STRAFFORD,NH,10000.00,1973,1973,Acquisition
81 - XXX,BEN MERE II,TOWN OF SUNAPEE,SULLIVAN,NH,2370.46,1973,1974,Development
88 - XXX,PILLSBURY-SUNAPEE CORRIDOR,DEPT. OF RESOURCES & ECONOMIC DEV.,SULLIVAN,NH,198288.49,1973,1975,Acquisition
90 - XXX,TILTON PARK,TOWN OF SUNAPEE,SULLIVAN,NH,3750.00,1973,1973,Acquisition
101 - XXX,CHARLESTOWN POOL,TOWN OF CHARLESTOWN,SULLIVAN,NH,56210.35,1973,1978,Development
106 - XXX,SPENCER LOT,TOWN OF PLAINFIELD,SULLIVAN,NH,5000.00,1973,1975,Acquisition
111 - XXX,MONADNOCK PARK II,CITY OF CLAREMONT,SULLIVAN,NH,35502.64,1973,1976,Development
114 - XXX,CLAREMONT PARKS,CITY OF CLAREMONT,SULLIVAN,NH,20029.64,1973,1975,Development
116 - XXX,SWAZEY PARK,TOWN OF MEREDITH,BELKNAP,NH,46469.50,1974,1975,Acquisition
151 - XXX,STONE WALL PARK,TOWN OF GILFORD,BELKNAP,NH,14250.00,1974,1976,Acquisition
115 - XXX,DAVIS PARK,TOWN OF CONWAY,CARROLL,NH,32500.00,1974,1975,Acquisition
117 - XXX,ARTIST FALLS BROOK,TOWN OF CONWAY,CARROLL,NH,10000.00,1974,1975,Acquisition
139 - XXX,CONWAY VILLAGE REC. AREA,TOWN OF CONWAY,CARROLL,NH,8093.06,1974,1976,Development
121 - XXX,WINCHESTER SCHOOL DISTRICT,TOWN OF WINCHESTER,CHESHIRE,NH,12500.81,1974,1976,Development
129 - XXX,FITZWILLIAM RECREATION AREA,TOWN OF FITZWILLIAM,CHESHIRE,NH,36627.22,1974,1976,Development
140 - XXX,TROY WAR MEMORIAL,TOWN OF TROY,CHESHIRE,NH,9598.67,1974,1976,Development
143 - XXX,BROWN MEMORIAL FIELD,TOWN OF SWANZEY,CHESHIRE,NH,54800.25,1974,1976,Combination
154 - XXX,HINSDALE RECREATION CENTER,TOWN OF HINSDALE,CHESHIRE,NH,63810.89,1974,1980,Development
157 - XXX,KEENE PARKS,CITY OF KEENE,CHESHIRE,NH,35423.81,1974,1976,Development
160 - XXX,PISGAH STATE PARK,DEPT. OF RESOURCES & ECONOMIC DEV.,CHESHIRE,NH,43436.73,1974,1977,Development
146 - XXX,MT WASHINGTON STATE PARK,DEPT. OF RESOURCES & ECONOMIC DEV.,COOS,NH,1013795.23,1974,1982,Development
122 - XXX,TRAMWAY,DEPT. OF RESOURCES & ECONOMIC DEV.,GRAFTON,NH,102269.11,1974,1975,Development
123 - XXX,LIN-WOOD SCHOOL DISTRICT,LINCOLN/WOODSTOCK SCHOOL DIST.,GRAFTON,NH,14418.24,1974,1976,Development
126 - XXX,HUSE PARK,TOWN OF ENFIELD,GRAFTON,NH,6441.23,1974,1982,Development
137 - XXX,BETHLEHEM POOL,TOWN OF BETHLEHEM,GRAFTON,NH,6139.72,1974,1977,Development
141 - XXX,DRESDEN SCHOOL DISTRICT,DRESDEN SCHOOL DIST.,GRAFTON,NH,31886.00,1974,1976,Acquisition
142 - XXX,ASHLAND TENNIS COURTS,TOWN OF ASHLAND,GRAFTON,NH,13507.07,1974,1976,Development
149 - XXX,CANNON MOUNTAIN,DEPT. OF RESOURCES & ECONOMIC DEV.,GRAFTON,NH,65551.53,1974,1976,Development
120 - XXX,BIXBY DAM,TOWN OF FRANCESTOWN,HILLS,NH,3850.00,1974,1976,Development
128 - XXX,HOLLIS GREENBELT II,TOWN OF HOLLIS,HILLS,NH,7500.00,1974,1976,Acquisition
164 - XXX,DLUGOSZ PROPERTY,CITY OF MANCHESTER,HILLS,NH,19999.50,1974,1976,Acquisition
175 - XXX,HOLLIS GREENBELT III,TOWN OF HOLLIS,HILLS,NH,5136.00,1974,1976,Acquisition
148 - XXX,MANAHAN PARK,TOWN OF HILLSBOROUGH,HILLSBOROUGH,NH,4572.50,1974,1975,Development
159 - XXX,ADAMS PARK OUTDOOR BASKETBALL COURT,TOWN OF PETERBOROUGH,HILLSBOROUGH,NH,3281.70,1974,1976,Development
110 - XXX,PHILBRICK BOG,TOWN OF NEW LONDON,MERRIMACK,NH,1500.00,1974,1976,Acquisition
125 - XXX,DONATI FIELD TENNIS CRT,TOWN OF HOOKSETT,MERRIMACK,NH,7950.99,1974,1976,Development
127 - XXX,CONTOOCOOK RIVER PART II,CITY OF CONCORD,MERRIMACK,NH,52520.68,1974,1976,Acquisition
130 - XXX,CONCORD PARKS LIGHTING,CITY OF CONCORD,MERRIMACK,NH,9954.63,1974,1976,Development
134 - XXX,FRANKLIN PARKS SYSTEM,CITY OF FRANKLIN,MERRIMACK,NH,6068.35,1974,1976,Development
144 - XXX,MEMORIAL FIELD III,CITY OF CONCORD,MERRIMACK,NH,97360.10,1974,1976,Development
145 - XXX,EPSOM CENTRAL PARK,EPSOM SCHOOL DIST.,MERRIMACK,NH,7434.05,1974,1976,Development
131 - XXX,N H STATE PARK SNOWMOBILE SYSTEM,DEPT. OF RESOURCES & ECONOMIC DEV.,MULTI-COUNTY,NH,19922.81,1974,1976,Development
147 - XXX,STATE PLAN MAINTENANCE III,DEPT. OF RESOURCES & ECONOMIC DEV.,PLANNING,NH,73896.22,1974,1976,Planning
138 - XXX,HAMPTON BEACH STATE PARK,DEPT. OF RESOURCES & ECONOMIC DEV.,ROCKINGHAM,NH,38762.16,1974,1976,Development
150 - XXX,EXETER RECREATION AREA,TOWN OF EXETER,ROCKINGHAM,NH,155470.82,1974,1979,Development
152 - XXX,GREENLAND CENTRAL PARK,TOWN OF GREENLAND,ROCKINGHAM,NH,21673.48,1974,1978,Development
153 - XXX,ODIORNE POINT STATE PARK,DEPT. OF RESOURCES & ECONOMIC DEV.,ROCKINGHAM,NH,17489.09,1974,1976,Development
155 - XXX,HAVEN SCHOOL NEIGHBORHOOD PARK,CITY OF PORTSMOUTH,ROCKINGHAM,NH,25875.33,1974,1976,Development
156 - XXX,SALEM SOFTBALL FIELD,TOWN OF SALEM,ROCKINGHAM,NH,1428.03,1974,1976,Development
158 - XXX,PAWTUCKAWAY TOILET BLDG,DEPT. OF RESOURCES & ECONOMIC DEV.,ROCKINGHAM,NH,21480.83,1974,1976,Development
118 - XXX,NEWPORT RECREATION AREA II,TOWN OF NEWPORT,SULLIVAN,NH,192.11,1974,1976,Development
161 - XXX,LACONIA FIVE PARKS,CITY OF LACONIA,BELKNAP,NH,42237.90,1975,1977,Development
191 - XXX,BELMONT RECREATION AREA,TOWN OF BELMONT,BELKNAP,NH,30915.34,1975,1977,Development
215 - XXX,MOULTANBORO RECREATION AREA,TOWN OF MOULTANBORO,CARROLL,NH,53554.20,1975,1977,Development
167 - XXX,PAQUETTE PROPERTY,CITY OF KEENE,CHESHIRE,NH,36902.25,1975,1976,Acquisition
202 - XXX,GOOSE POND,CITY OF KEENE,CHESHIRE,NH,5350.00,1975,1977,Acquisition
192 - XXX,ASHLAND BEACH,TOWN OF ASHLAND,GRAFTON,NH,1505.28,1975,1976,Development
198 - XXX,D/RINKER T-ACT,TOWN OF HANOVER,GRAFTON,NH,6149.05,1975,1977,Acquisition
204 - XXX,WEST SIDE RECREATION AREA,CITY OF LEBANON,GRAFTON,NH,12356.68,1975,1981,Development
170 - XXX,KABLIS PROPERTY,TOWN OF BEDFORD,HILLS,NH,23950.00,1975,1976,Acquisition
176 - XXX,MANCHESTER HUNT POOL,CITY OF MANCHESTER,HILLS,NH,128636.46,1975,1977,Development
181 - XXX,GREENFIELD SHOWER BUILDING,DEPT. OF RESOURCES & ECONOMIC DEV.,HILLS,NH,35948.33,1975,1980,Development
196 - XXX,BROSS LAND,TOWN OF SHARON,HILLS,NH,70580.40,1975,1977,Acquisition
197 - XXX,BEDFORD RECREATION AREA III,TOWN OF BEDFORD,HILLS,NH,131914.89,1975,1981,Development
203 - XXX,DANIEL'S MEMORIAL TENNIS COURT,TOWN OF NEW BOSTON,HILLS,NH,4451.64,1975,1979,Redevelopment
206 - XXX,GREENVILLE BALLFIELD,TOWN OF GREENFIELD,HILLS,NH,4621.75,1975,1977,Development
218 - XXX,BROOKLINE BASKETBALL COURT,BROOKLINE SCHOOL DIST.,HILLS,NH,2930.45,1975,1977,Development
219 - XXX,D/LAWSON FARM ACQ.,TOWN OF MT. VERNON,HILLS,NH,99454.20,1975,1977,Acquisition
185 - XXX,REGG LAKE AND CRAM PARK,TOWN OF ANTRIM,HILLSBOROUGH,NH,1838.09,1975,1977,Development
193 - XXX,MINE FALLS PARK II,CITY OF NASHUA,HILLSBOROUGH,NH,334863.20,1975,1977,Development
208 - XXX,PARK IMPROVEMENT PROJECTS,CITY OF MANCHESTER,HILLSBOROUGH,NH,37302.26,1975,1977,Development
165 - XXX,HOPKINTON-CONTOOCOOK RIVER,TOWN OF HOPKINTON,MERRIMACK,NH,14323.54,1975,1976,Acquisition
174 - XXX,ALLENSTOWN LOT,DEPT. OF RESOURCES & ECONOMIC DEV.,MERRIMACK,NH,9630.00,1975,1977,Acquisition
177 - XXX,BUTTERFIELD POND,DEPT. OF RESOURCES & ECONOMIC DEV.,MERRIMACK,NH,9891.95,1975,1976,Acquisition
178 - XXX,ASKER LOT,DEPT. OF RESOURCES & ECONOMIC DEV.,MERRIMACK,NH,16050.00,1975,1976,Acquisition
179 - XXX,D/DODGE LOT,DEPT. OF RESOURCES & ECONOMIC DEV.,MERRIMACK,NH,6955.00,1975,1976,Acquisition
180 - XXX,TERRY LOT,DEPT. OF RESOURCES & ECONOMIC DEV.,MERRIMACK,NH,1979.50,1975,1977,Acquisition
183 - XXX,SKINNER LOT,DEPT. OF RESOURCES & ECONOMIC DEV.,MERRIMACK,NH,2675.00,1975,1977,Acquisition
186 - XXX,MAHON PROPERTY-MERRILL PARK,CITY OF CONCORD,MERRIMACK,NH,4815.00,1975,1977,Acquisition
188 - XXX,MEMORIAL FIELD IV,CITY OF CONCORD,MERRIMACK,NH,267128.83,1975,1977,Development
195 - XXX,HOPKINTON PARK IMPROVEMENT I,TOWN OF HOPKINTON,MERRIMACK,NH,16680.54,1975,1980,Development
209 - XXX,RIVERSIDE PARK,TOWN OF HOOKSETT,MERRIMACK,NH,3410.68,1975,1978,Development
210 - XXX,ODELL PARK RINK,CITY OF FRANKLIN,MERRIMACK,NH,1524.75,1975,1977,Development
212 - XXX,BOSCAWEN BALLFIELDS,TOWN OF BOSCAWEN,MERRIMACK,NH,2019.02,1975,1977,Development
216 - XXX,STATE PLAN MAINTENANCE IV,DEPT. OF RESOURCES & ECONOMIC DEV.,PLANNING,NH,82749.34,1975,1979,Planning
166 - XXX,DERRY THREE PARKS,TOWN OF DERRY,ROCKINGHAM,NH,15878.60,1975,1975,Development
173 - XXX,PRESCOTT PARK AND FOUR TREE ISLAND,CITY OF PORTSMOUTH,ROCKINGHAM,NH,326411.53,1975,1977,Development
182 - XXX,JONES AVENUE RECREATION AREA,CITY OF PORTSMOUTH,ROCKINGHAM,NH,37963.70,1975,1977,Acquisition
184 - XXX,KENSINGTON OPEN PAVILION,TOWN OF KENSINGTON,ROCKINGHAM,NH,1975.64,1975,1977,Development
190 - XXX,BEAR BROOK WATER SYSTEM,DEPT. OF RESOURCES & ECONOMIC DEV.,ROCKINGHAM,NH,31717.83,1975,1977,Development
200 - XXX,NEWMARKET RECREATION PARK,TOWN OF NEWMARKET,ROCKINGHAM,NH,116634.92,1975,1980,Development
205 - XXX,PLAISTOW PARK II,TOWN OF PLAISTOW,ROCKINGHAM,NH,17316.85,1975,1977,Development
207 - XXX,NORTH HAMPTON MULTIPURPOSE COURTS,TOWN OF NORTH HAMPTON,ROCKINGHAM,NH,24788.69,1975,1977,Development
162 - XXX,LEE LITTLE RIVER,TOWN OF LEE,STRAFFORD,NH,8000.00,1975,1976,Acquisition
168 - XXX,GUPPEY PARK POOL,CITY OF DOVER,STRAFFORD,NH,198939.50,1975,1982,Development
187 - XXX,SOMERSWORTH TWO TENNIS CTS.,CITY OF SOMERSWORTH,STRAFFORD,NH,8765.16,1975,1978,Development
199 - XXX,SOMERSWORTH COMMUNITY DEVELOPMENT,CITY OF SOMERSWORTH,STRAFFORD,NH,156239.67,1975,1981,Development
221 - XXX,MARCOTTE PROPERTY,CITY OF DOVER,STRAFFORD,NH,8822.55,1975,1977,Acquisition
189 - XXX,NEWPORT ATHLETIC RECREATION COMPLEX,TOWN OF NEWPORT,SULLIVAN,NH,44590.16,1975,1978,Development
194 - XXX,CORNISH SWIMMING AREA,TOWN OF CORNISH,SULLIVAN,NH,3208.20,1975,1977,Development
211 - XXX,ARROWHEAD SKIWAY,CITY OF CLAREMONT,SULLIVAN,NH,48150.00,1975,1977,Acquisition
225 - XXX,STONEWALL PARK II,TOWN OF GILFORD,BELKNAP,NH,8812.13,1976,1977,Development
227 - XXX,SOUTH END PARK,CITY OF LACONIA,BELKNAP,NH,12565.45,1976,1977,Acquisition
239 - XXX,D/BELKNAP MOUNTAIN STATE FOREST,DEPT. OF RESOURCES & ECONOMIC DEV.,BELKNAP,NH,92503.10,1976,1978,Acquisition
256 - XXX,WEIRS BEACH IMPROVEMENTS,CITY OF LACONIA,BELKNAP,NH,86224.79,1976,1978,Development
245 - XXX,WHITE LAKE STATE PARK,DEPT. OF RESOURCES & ECONOMIC DEV.,CARROLL,NH,114891.59,1976,1979,Development
226 - XXX,FULLER SCHOOL NEIGHBORHOOD PARK,CITY OF KEENE,CHESHIRE,NH,74773.09,1976,1981,Development
233 - XXX,GOOSE POND II,CITY OF KEENE,CHESHIRE,NH,21263.67,1976,1980,Acquisition
234 - XXX,FAULKNER/MARKEM PARCELS,CITY OF KEENE,CHESHIRE,NH,22328.05,1976,1978,Acquisition
254 - XXX,EAST WESTMORELAND PLAY AREA,TOWN OF WESTMORELAND,CHESHIRE,NH,6697.96,1976,1979,Combination
265 - XXX,PISGAH STATE PARK II,DEPT. OF RESOURCES & ECONOMIC DEV.,CHESHIRE,NH,152750.01,1976,1982,Acquisition
213 - XXX,D/HORNE FIELD,CITY OF BERLIN,COOS,NH,27692.07,1976,1979,Development
240 - XXX,LAKE FRANCIS CAMPGROUND,DEPT. OF RESOURCES & ECONOMIC DEV.,COOS,NH,45628.12,1976,1976,Development
244 - XXX,COL. TOWN SWIMMING POOL,TOWN OF LANCASTER,COOS,NH,88838.06,1976,1978,Development
253 - XXX,GROVETON PLAYGROUNDS,TOWN OF NORTHUMBERLAND,COOS,NH,29671.49,1976,1982,Development
260 - XXX,GORHAM COMMON,TOWN OF GORHAM,COOS,NH,8005.55,1976,1980,Redevelopment
220 - XXX,DRESDEN RECREATION FIELDS,DRESDEN SCHOOL DIST.,GRAFTON,NH,46884.70,1976,1979,Development
242 - XXX,CANAAN TOWN BEACH DOCK,TOWN OF CANAAN,GRAFTON,NH,1731.98,1976,1978,Development
252 - XXX,HANOVER BOAT LANDING,TOWN OF HANOVER,GRAFTON,NH,2645.94,1976,1978,Development
262 - XXX,GRANT RECREATION FIELD,LYME SCHOOL DIST.,GRAFTON,NH,11329.28,1976,1978,Development
232 - XXX,AMHERST TOWN TENNIS COURT,TOWN OF AMHERST,HILLS,NH,8573.91,1976,1978,Development
255 - XXX,SHADY LANE AND NORTH COMMON,CITY OF NASHUA,HILLS,NH,115965.33,1976,1978,Development
258 - XXX,NASHUA RIVER GREENWAY I,TOWN OF HOLLIS,HILLS,NH,5079.65,1976,1978,Acquisition
263 - XXX,WEARE TENNIS COURTS,TOWN OF WEARE,HILLS,NH,10495.14,1976,1980,Development
236 - XXX,ADAMS PARK DRAINAGE IMPROVEMENTS,TOWN OF PETERBOROUGH,HILLSBOROUGH,NH,14554.93,1976,1978,Development
237 - XXX,MANCHESTER THREE SCHOOL PARKS,CITY OF MANCHESTER,HILLSBOROUGH,NH,20016.47,1976,1977,Development
259 - XXX,PINE ISLAND PARK,CITY OF MANCHESTER,HILLSBOROUGH,NH,62727.86,1976,1979,Combination
223 - XXX,CRICENTI/CLEVELAND ACQUISITION,TOWN OF NEW LONDON,MERRIMACK,NH,6550.97,1976,1977,Combination
246 - XXX,ALLENSTOWN RECREATION PARK,ALLENSTOWN SCHOOL DIST.,MERRIMACK,NH,11569.20,1976,1981,Development
