Grant ID & Element,Grant Name,Sponsor,County,State,Grant Amount,Year Approved,Year Completed,Type
506 - XXX,MANCHESTER LIVINGSTON PARK II,CITY OF MANCHESTER,HILLSBOROUGH,NH,115932.46,1985,1990,Development
504 - XXX,STATE PLAN MAINTENANCE VII,DEPT. OF RESOURCES & ECONOMIC DEV.,PLANNING,NH,87136.72,1985,1986,Planning
467 - XXX,PIERCE ISLAND POOL RENOVATION,CITY OF PORTSMOUTH,ROCKINGHAM,NH,45360.00,1985,1985,Redevelopment
502 - XXX,ATKINSON SAWMILL SWAMP,TOWN OF ATKINSON,ROCKINGHAM,NH,25200.00,1985,1985,Acquisition
505 - XXX,DERRY CONSERVATION AREAS IV,TOWN OF DERRY,ROCKINGHAM,NH,35280.00,1985,1985,Acquisition
526 - XXX,SALEM - TENNIS COURTS,TOWN OF SALEM,ROCKINGHAM,NH,35280.00,1985,1987,Development
516 - XXX,FARMINGTON SCHOOL DISTRICT,FARMINGTON SCHOOL DIST.,STRAFFORD,NH,75600.00,1985,1988,Development
495 - XXX,CHARLESTOWN PATCH PARK,TOWN OF CHARLESTOWN,SULLIVAN,NH,15120.00,1985,1988,Development
525 - XXX,CORNISH RECREATION AREA,TOWN OF CORNISH,SULLIVAN,NH,27338.36,1985,1989,Development
532 - XXX,CLAREMONT RIVER BOAT LANDING,CITY OF CLAREMONT,SULLIVAN,NH,34776.00,1985,1986,Combination
536 - XXX,GUNSTOCK TRAILS,GUNSTOCK AREA COMM.,BELKNAP,NH,40320.00,1986,1987,Development
531 - XXX,FULLAM POND,DEPT. OF RESOURCES & ECONOMIC DEV.,CHESHIRE,NH,93923.84,1986,1989,Development
521 - XXX,GORHAM SCHOOL PLAYGROUND,GORHAM SCHOOL DIST.,COOS,NH,10886.31,1986,1986,Redevelopment
534 - XXX,BERLIN RUNNING TRACK,CITY OF BERLIN,COOS,NH,35280.00,1986,1990,Development
517 - XXX,NEW BOSTON PISCATAQUOG LAND,TOWN OF NEW BOSTON,HILLS,NH,1890.00,1986,1987,Acquisition
518 - XXX,GOFFSTOWN PISCATAQUOG LAND,TOWN OF GOFFSTOWN,HILLS,NH,4410.00,1986,1987,Acquisition
533 - XXX,MANCHESTER-CRYSTAL BEACH PARK,CITY OF MANCHESTER,HILLSBOROUGH,NH,75600.00,1986,1987,Redevelopment
529 - XXX,HILL-WHEELER PARK,HILL SCHOOL DIST./TOWN OF HILL,MERRIMACK,NH,10080.00,1986,1987,Development
535 - XXX,LOUDON RECREATION AREA,TOWN OF LOUDON,MERRIMACK,NH,40320.00,1986,1988,Development
541 - XXX,STATE PLAN MAINTENANCE VIII,DEPT. OF RESOURCES & ECONOMIC DEV.,PLANNING,NH,25200.00,1986,1987,Planning
537 - XXX,WINDHAM RECREATION AREA,TOWN OF WINDHAM,ROCKINGHAM,NH,40320.00,1986,1988,Development
538 - XXX,PORTSMOUTH MULTIPURPOSE FIELDS,CITY OF PORTSMOUTH,ROCKINGHAM,NH,44940.00,1986,1989,Development
539 - XXX,SALEM SOCCER FIELD,TOWN OF SALEM,ROCKINGHAM,NH,25200.00,1986,1987,Development
540 - XXX,BISSON PARK,CITY OF SOMERSWORTH,STRAFFORD,NH,18144.00,1986,1988,Redevelopment
542 - XXX,LEE-WHEELWRIGHT POND,TOWN OF LEE,STRAFFORD,NH,31752.00,1986,1987,Acquisition
524 - XXX,NEWPORT RUNNING TRACK,TOWN OF NEWPORT,SULLIVAN,NH,35280.00,1986,1988,Development
543 - XXX,LACONIA-OPECHEE PARK LIGHTING,CITY OF LACONIA,BELKNAP,NH,35840.22,1987,1988,Development
546 - XXX,OSSIPEE RECREATION AREA,TOWN OF OSSIPEE,CARROLL,NH,12625.40,1987,1990,Development
545 - XXX,GOOSE POND IV - KEENE,CITY OF KEENE,CHESHIRE,NH,25804.80,1987,1988,Acquisition
556 - XXX,FITZWILLIAM REC AREA II,TOWN OF FITZWILLIAM,CHESHIRE,NH,26801.73,1987,1989,Redevelopment
551 - XXX,STATE PARKS ACQ. II,DEPT. OF RESOURCES & ECONOMIC DEV.,MULTI-COUNTY,NH,262954.04,1987,1988,Acquisition
550 - XXX,STATE PLAN MAINTENANCE IX,DEPT. OF RESOURCES & ECONOMIC DEV.,PLANNING,NH,53287.00,1987,1989,Planning
548 - XXX,EXETER WATERFRONT IMPROVEMENTS,TOWN OF EXETER,ROCKINGHAM,NH,34110.72,1987,1988,Combination
549 - XXX,EPPING PLAYGROUND,TOWN OF EPPING,ROCKINGHAM,NH,22963.63,1987,1990,Development
552 - XXX,MIDDLETON REC. AREA,MIDDLETON SCHOOL DIST.,STRAFFORD,NH,21988.89,1987,1989,Development
547 - XXX,SPRINGFIELD PARK,TOWN OF SPRINGFIELD,SULLIVAN,NH,30802.38,1987,1989,Combination
553 - XXX,PLAINFIELD LAND ACQUISITION,TOWN OF PLAINFIELD,SULLIVAN,NH,21092.50,1987,1988,Acquisition
554 - XXX,NEWPORT SOFTBALL FIELDS,TOWN OF NEWPORT,SULLIVAN,NH,44940.00,1987,1989,Development
555 - XXX,UNITY-QUAKER CITY AREA,TOWN OF UNITY,SULLIVAN,NH,15624.00,1987,1988,Acquisition
557 - XXX,KEENE-WHEELOCK PARK RINK,CITY OF KEENE,CHESHIRE,NH,17640.00,1988,1989,Redevelopment
561 - XXX,PISGAH STATE PARK III,DEPT. OF RESOURCES & ECONOMIC DEV.,CHESHIRE,NH,28087.00,1988,1989,Acquisition
558 - XXX,NASHUA - FIELDS GROVE,CITY OF NASHUA,HILLS,NH,39284.87,1988,1989,Redevelopment
560 - XXX,MERRIMACK TENNIS COURTS II,TOWN OF MERRIMACK,HILLS,NH,22134.42,1988,1989,Development
544 - XXX,CONCORD PARKS IMPROVEMENT II,CITY OF CONCORD,MERRIMACK,NH,37769.17,1988,1988,Redevelopment
559 - XXX,FRANKLIN-ODELL PARK IMPROVEMENTS,CITY OF FRANKLIN,MERRIMACK,NH,22470.00,1988,1989,Development
563 - XXX,STATE PLAN MAINTENANCE TEN,DEPT. OF RESOURCES & ECONOMIC DEV.,PLANNING,NH,56175.00,1989,1991,Planning
567 - XXX,LOCHMERE SITE ACQUISITION,DEPT. OF RESOURCES & ECONOMIC DEV.,BELKNAP,NH,11235.00,1990,1990,Acquisition
568 - XXX,CONNECTICUT RIVERFRONT - LEBANON,CITY OF LEBANON,GRAFTON,NH,34266.75,1990,1990,Acquisition
566 - XXX,NEW IPSWICH CONSERVATION PARK,TOWN OF NEW IPSWICH,HILLSBOROUGH,NH,39322.50,1990,1990,Acquisition
565 - XXX,KEARSARGE MOUNTAIN ACQ./ROLLINS S.P.,DEPT. OF RESOURCES & ECONOMIC DEV.,MERRIMACK,NH,15729.00,1990,1990,Acquisition
564 - XXX,EXETER-ALLEN STREET ACQUISITION,TOWN OF EXETER,ROCKINGHAM,NH,39322.50,1990,1990,Acquisition
571 - XXX,ALTON BAY,TOWN OF ALTON,BELKNAP,NH,27864.21,1991,1993,Development
573 - XXX,OSSIPEE RECREATION AREA II,TOWN OF OSSIPEE,CARROLL,NH,25886.87,1991,1997,Development
576 - XXX,CHASE BRIDGE-FALLS PATH,TOWN OF WOLFEBORO,CARROLL,NH,24381.97,1991,1993,Development
578 - XXX,HUMISTON FIELD,TOWN OF JAFFREY,CHESHIRE,NH,22470.00,1991,1992,Redevelopment
572 - XXX,FOX POND PARK II,TOWN OF PLYMOUTH,GRAFTON,NH,3903.90,1991,1992,Development
579 - XXX,MILL POND II,TOWN OF ANTRIM,HILLS,NH,13949.58,1991,1993,Development
574 - XXX,MULDOON PARK II,TOWN OF PELHAM,HILLSBOROUGH,NH,11235.00,1991,1992,Development
569 - XXX,"ROLFE PARK, CONCORD",CITY OF CONCORD,MERRIMACK,NH,33697.82,1991,1992,Development
577 - XXX,HANSON RECREATION AREA,TOWN OF BOW,MERRIMACK,NH,27866.81,1991,1993,Development
575 - XXX,N.H. STATE PLAN MAINTENANCE ELEVEN,DEPT. OF RESOURCES & ECONOMIC DEV.,PLANNING,NH,55622.29,1991,1993,Planning
570 - XXX,NEWMARKET PARKS,TOWN OF NEWMARKET,ROCKINGHAM,NH,24918.89,1991,1992,Development
584 - XXX,ARCH PARK,TOWN OF NORTHFIELD,MERRIMACK,NH,10557.67,1992,1995,Development
587 - XXX,ODELL PARK PLAYGROUND,CITY OF FRANKLIN,MERRIMACK,NH,11154.00,1992,1993,Development
580 - XXX,STATE PARK ACQUISITIONS III,DEPT. OF RESOURCES & ECONOMIC DEV.,MULTI-COUNTY,NH,13762.87,1992,1992,Acquisition
582 - XXX,DARBY BROOK MILLPOND,TOWN OF HAMPSTEAD,ROCKINGHAM,NH,13328.40,1992,1993,Acquisition
